experiment_name,run_name,dataset,classes,num_channels,ablated_channel,ablated_channel_idx,ablation_iteration,ablation_study,batch_size,best_fold_idx,best_lr,color_transforms,creation_date,creation_time,dropout_rate,epochs,freezed_layer_index,intensity_augmentation_preset,lr_discovery_folds,lr_discovery_method,mixup_alpha,model_library,model_name,optimizer_name,pretrained_weights,test_counts,test_pat_ids_for_best_fold,test_pat_ids_per_fold,total_channels_available,total_params,train_counts,trainable_params,transfer_learning,use_crop,val_counts,weight_decay,exec_time_min,mean_patient_major_bal_acc,mean_patient_major_mcc,mean_patient_major_precision,mean_patient_major_recall,mean_patient_soft_bal_acc,mean_patient_soft_mcc,mean_patient_soft_precision,mean_patient_soft_recall,mean_test_accuracy,mean_test_auc,mean_test_balanced_acc,mean_test_f1,mean_test_mcc,mean_test_precision,mean_test_recall,std_patient_major_bal_acc,std_patient_major_mcc,std_patient_major_precision,std_patient_major_recall,std_patient_soft_bal_acc,std_patient_soft_mcc,std_patient_soft_precision,std_patient_soft_recall,std_test_accuracy,std_test_auc,std_test_balanced_acc,std_test_f1,std_test_mcc,std_test_precision,std_test_recall,ablation.channel,ablation.iteration,ablation.study_type,patient_major_bal_acc_formatted,patient_major_mcc_formatted,patient_major_precision_formatted,patient_major_recall_formatted,patient_soft_bal_acc_formatted,patient_soft_mcc_formatted,patient_soft_precision_formatted,patient_soft_recall_formatted
ABLATION_STUDIES_MSA_vs_PD_supervised,Resnet18_oversamp_monai_11-06_at:16-28-01,DS1,MSA vs PD,4,3,3,4/4,single_channel,32,4,0.00012207764786954147,,11-06,16:28:01,0.2,210,None,light,4,nested,0,monai,Resnet18,AdamW,None,20,['5776' '5969' '6053' '6258' '6599' '6651' '6663' '6696' '6773' '7689'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",4,11181570,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",11181570,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-4,78.786,0.702,0.386,0.565,0.74,0.703,0.409,0.594,0.74,,0.747,0.697,0.0,0.387,0.0,0.0,0.199,0.383,0.189,0.218,0.155,0.31,0.199,0.179,,0.132,0.163,0.0,0.317,0.0,0.0,ch3,4/4,single_channel_knockout,0.702 ± 0.199,0.386 ± 0.383,0.565 ± 0.189,0.740 ± 0.218,0.703 ± 0.155,0.409 ± 0.310,0.594 ± 0.199,0.740 ± 0.179
ABLATION_STUDIES_MSA_vs_PD_supervised,Resnet18_oversamp_monai_11-06_at:02-01-40,DS1,MSA vs PD,4,2,2,3/4,single_channel,32,5,0.00012207764786954147,,11-06,02:01:40,0.2,210,None,light,4,nested,0,monai,Resnet18,AdamW,None,20,['5992' '6308' '6323' '6657' '7120' '7179' '7185' '7781' '7811' '7893'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",4,11181570,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",11181570,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-4,65.168,0.617,0.245,0.505,0.573,0.608,0.236,0.531,0.552,0.629,0.686,0.62,0.538,0.256,0.545,0.594,0.189,0.391,0.263,0.296,0.188,0.373,0.243,0.32,0.14,0.161,0.132,0.142,0.274,0.203,0.209,ch2,3/4,single_channel_knockout,0.617 ± 0.189,0.245 ± 0.391,0.505 ± 0.263,0.573 ± 0.296,0.608 ± 0.188,0.236 ± 0.373,0.531 ± 0.243,0.552 ± 0.320
ABLATION_STUDIES_MSA_vs_PD_supervised,Resnet18_oversamp_monai_11-06_at:00-55-55,DS1,MSA vs PD,4,1,1,2/4,single_channel,32,4,1.9906996673933362e-05,,11-06,00:55:55,0.2,210,None,light,4,nested,0,monai,Resnet18,AdamW,None,20,['5776' '5969' '6053' '6258' '6599' '6651' '6663' '6696' '6773' '7689'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",4,11181570,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",11181570,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-4,84.115,0.574,0.148,0.438,0.521,0.615,0.221,0.492,0.583,0.603,0.64,0.601,0.519,0.198,0.477,0.594,0.214,0.409,0.192,0.335,0.152,0.287,0.131,0.208,0.142,0.154,0.147,0.152,0.284,0.143,0.2,ch1,2/4,single_channel_knockout,0.574 ± 0.214,0.148 ± 0.409,0.438 ± 0.192,0.521 ± 0.335,0.615 ± 0.152,0.221 ± 0.287,0.492 ± 0.131,0.583 ± 0.208
ABLATION_STUDIES_MSA_vs_PD_supervised,Resnet18_oversamp_monai_11-05_at:23-31-13,DS1,MSA vs PD,4,0,0,1/4,single_channel,32,4,0.00012207764786954147,,11-05,23:31:13,0.2,210,None,light,4,nested,0,monai,Resnet18,AdamW,None,20,['5776' '5969' '6053' '6258' '6599' '6651' '6663' '6696' '6773' '7689'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",4,11181570,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",11181570,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-4,67.778,0.619,0.231,0.462,0.604,0.661,0.317,0.533,0.708,0.626,0.683,0.63,0.559,0.25,0.5,0.641,0.232,0.447,0.24,0.365,0.184,0.366,0.219,0.195,0.156,0.158,0.165,0.182,0.316,0.17,0.202,ch0,1/4,single_channel_knockout,0.619 ± 0.232,0.231 ± 0.447,0.462 ± 0.240,0.604 ± 0.365,0.661 ± 0.184,0.317 ± 0.366,0.533 ± 0.219,0.708 ± 0.195
ABLATION_STUDIES_MSA_vs_PD_supervised,Densenet121_oversamp_monai_11-05_at:20-45-02,DS1,MSA vs PD,4,3,3,4/4,single_channel,32,4,1.9906996673933362e-05,,11-05,20:45:02,0.2,210,None,light,4,nested,0,monai,Densenet121,AdamW,None,20,['5776' '5969' '6053' '6258' '6599' '6651' '6663' '6696' '6773' '7689'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",4,6959042,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",6959042,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-4,49.034,0.713,0.416,0.592,0.708,0.731,0.461,0.642,0.708,0.719,0.777,0.718,0.655,0.426,0.605,0.719,0.141,0.273,0.134,0.195,0.159,0.318,0.19,0.195,0.102,0.116,0.104,0.118,0.206,0.121,0.128,ch3,4/4,single_channel_knockout,0.713 ± 0.141,0.416 ± 0.273,0.592 ± 0.134,0.708 ± 0.195,0.731 ± 0.159,0.461 ± 0.318,0.642 ± 0.190,0.708 ± 0.195
ABLATION_STUDIES_MSA_vs_PD_supervised,Densenet121_oversamp_monai_11-05_at:19-55-33,DS1,MSA vs PD,4,2,2,3/4,single_channel,32,5,1.9906996673933362e-05,,11-05,19:55:33,0.2,210,None,light,4,nested,0,monai,Densenet121,AdamW,None,20,['5992' '6308' '6323' '6657' '7120' '7179' '7185' '7781' '7811' '7893'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",4,6959042,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",6959042,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-4,43.66,0.62,0.255,0.496,0.615,0.63,0.273,0.53,0.615,0.64,0.737,0.636,0.553,0.278,0.522,0.646,0.144,0.314,0.262,0.328,0.15,0.318,0.27,0.328,0.09,0.122,0.094,0.124,0.18,0.122,0.225,ch2,3/4,single_channel_knockout,0.620 ± 0.144,0.255 ± 0.314,0.496 ± 0.262,0.615 ± 0.328,0.630 ± 0.150,0.273 ± 0.318,0.530 ± 0.270,0.615 ± 0.328
ABLATION_STUDIES_MSA_vs_PD_supervised,Densenet121_oversamp_monai_11-05_at:19-11-26,DS1,MSA vs PD,4,1,1,2/4,single_channel,32,7,0.00012207764786954147,,11-05,19:11:26,0.2,210,None,light,4,nested,0,monai,Densenet121,AdamW,None,20,['4121' '5358' '5753' '6060' '6337' '6577' '6616' '7155' '7343' '7857'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",4,6959042,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",6959042,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-4,39.831,0.661,0.313,0.525,0.615,0.637,0.264,0.508,0.583,0.64,0.702,0.644,0.545,0.282,0.522,0.625,0.166,0.32,0.173,0.276,0.155,0.295,0.162,0.243,0.111,0.12,0.119,0.148,0.224,0.125,0.22,ch1,2/4,single_channel_knockout,0.661 ± 0.166,0.313 ± 0.320,0.525 ± 0.173,0.615 ± 0.276,0.637 ± 0.155,0.264 ± 0.295,0.508 ± 0.162,0.583 ± 0.243
ABLATION_STUDIES_MSA_vs_PD_supervised,Densenet121_oversamp_monai_11-05_at:18-31-08,DS1,MSA vs PD,4,0,0,1/4,single_channel,32,4,1.9906996673933362e-05,,11-05,18:31:08,0.2,210,None,light,4,nested,0,monai,Densenet121,AdamW,None,20,['5776' '5969' '6053' '6258' '6599' '6651' '6663' '6696' '6773' '7689'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",4,6959042,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",6959042,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-4,45.407,0.623,0.243,0.476,0.635,0.689,0.383,0.546,0.771,0.649,0.712,0.661,0.598,0.322,0.535,0.703,0.199,0.383,0.185,0.294,0.151,0.302,0.2,0.235,0.132,0.121,0.125,0.145,0.252,0.155,0.17,ch0,1/4,single_channel_knockout,0.623 ± 0.199,0.243 ± 0.383,0.476 ± 0.185,0.635 ± 0.294,0.689 ± 0.151,0.383 ± 0.302,0.546 ± 0.200,0.771 ± 0.235
DS1_4c_MSA-P_vs_PD_supervised,Densenet169_oversamp_monai_10-30_at:10-44-44,DS1,MSA-P vs PD,4,,,,,32,5,0.00012207764786954147,,10-30,10:44:44,0.2,210,None,light,4,nested,0,monai,Densenet169,AdamW,None,14,['5717' '5767' '6337' '6366' '6657' '7132' '7229'],"{0: array(['5776', '6008', '6060', '6258', '6311', '6577', '6616', '6791'],
      dtype=object), 1: array(['6179', '6237', '6323', '6363', '6663', '6696', '6773', '7689'],
      dtype=object), 2: array(['5745', '5753', '5996', '6375', '6690', '7114', '7155', '7781'],
      dtype=object), 3: array(['5463', '5978', '5992', '6351', '6383', '7284', '7461'],
      dtype=object), 4: array(['5435', '6046', '6571', '6593', '6651', '7343', '7544'],
      dtype=object), 5: array(['5717', '5767', '6337', '6366', '6657', '7132', '7229'],
      dtype=object), 6: array(['6308', '6326', '6427', '6459', '6485', '6749', '7318'],
      dtype=object), 7: array(['4092', '5954', '6340', '6424', '6599', '7787', '7811'],
      dtype=object)}",,12490946,"{0: 85, 1: 84, 2: 84, 3: 89, 4: 86, 5: 86, 6: 86, 7: 86}",12490946,False,False,"{0: 16, 1: 16, 2: 15, 3: 15, 4: 16, 5: 16, 6: 16, 7: 16}",1e-4,32.821,0.792,0.592,0.777,0.833,0.729,0.483,0.698,0.792,0.75,0.781,0.75,0.764,0.516,0.733,0.812,0.174,0.35,0.205,0.182,0.164,0.343,0.196,0.243,0.139,0.141,0.134,0.144,0.278,0.157,0.165,,,,0.792 ± 0.174,0.592 ± 0.350,0.777 ± 0.205,0.833 ± 0.182,0.729 ± 0.164,0.483 ± 0.343,0.698 ± 0.196,0.792 ± 0.243
DS1_4c_MSA-P_vs_PD_supervised,Resnet18_oversamp_monai_10-30_at:11-31-10,DS1,MSA-P vs PD,4,,,,,32,2,9.77832594580138e-06,,10-30,11:31:10,0.2,210,None,light,4,nested,0,monai,Resnet18,AdamW,None,14,['5745' '5753' '5996' '6375' '6690' '7114' '7155' '7781'],"{0: array(['5776', '6008', '6060', '6258', '6311', '6577', '6616', '6791'],
      dtype=object), 1: array(['6179', '6237', '6323', '6363', '6663', '6696', '6773', '7689'],
      dtype=object), 2: array(['5745', '5753', '5996', '6375', '6690', '7114', '7155', '7781'],
      dtype=object), 3: array(['5463', '5978', '5992', '6351', '6383', '7284', '7461'],
      dtype=object), 4: array(['5435', '6046', '6571', '6593', '6651', '7343', '7544'],
      dtype=object), 5: array(['5717', '5767', '6337', '6366', '6657', '7132', '7229'],
      dtype=object), 6: array(['6308', '6326', '6427', '6459', '6485', '6749', '7318'],
      dtype=object), 7: array(['4092', '5954', '6340', '6424', '6599', '7787', '7811'],
      dtype=object)}",,11181570,"{0: 85, 1: 84, 2: 84, 3: 89, 4: 86, 5: 86, 6: 86, 7: 86}",11181570,False,False,"{0: 16, 1: 16, 2: 15, 3: 15, 4: 16, 5: 16, 6: 16, 7: 16}",1e-4,46.095,0.792,0.593,0.781,0.865,0.812,0.642,0.79,0.906,0.773,0.815,0.775,0.795,0.562,0.771,0.839,0.172,0.344,0.19,0.138,0.132,0.261,0.134,0.121,0.124,0.139,0.122,0.108,0.247,0.145,0.12,,,,0.792 ± 0.172,0.593 ± 0.344,0.781 ± 0.190,0.865 ± 0.138,0.812 ± 0.132,0.642 ± 0.261,0.790 ± 0.134,0.906 ± 0.121
DS1_4c_MSA-P_vs_PD_supervised,ViT_monai_10-30_at:12-06-53,DS1,MSA-P vs PD,4,,,,,32,0,0.00012207764786954147,,10-30,12:06:53,0.2,450,None,light,4,nested,0,monai,ViT,AdamW,None,"{'fold_0': 8, 'fold_1': 8, 'fold_2': 8, 'fold_3': 7, 'fold_4': 7, 'fold_5': 7, 'fold_6': 7, 'fold_7': 7}",,"{0: array(['5776', '6008', '6060', '6258', '6311', '6577', '6616', '6791'],
      dtype=object), 1: array(['6179', '6237', '6323', '6363', '6663', '6696', '6773', '7689'],
      dtype=object), 2: array(['5745', '5753', '5996', '6375', '6690', '7114', '7155', '7781'],
      dtype=object), 3: array(['5463', '5978', '5992', '6351', '6383', '7284', '7461'],
      dtype=object), 4: array(['5435', '6046', '6571', '6593', '6651', '7343', '7544'],
      dtype=object), 5: array(['5717', '5767', '6337', '6366', '6657', '7132', '7229'],
      dtype=object), 6: array(['6308', '6326', '6427', '6459', '6485', '6749', '7318'],
      dtype=object), 7: array(['4092', '5954', '6340', '6424', '6599', '7787', '7811'],
      dtype=object)}",,1054978,"{0: 85, 1: 84, 2: 84, 3: 89, 4: 86, 5: 86, 6: 86, 7: 86}",1054978,False,False,"{0: 16, 1: 16, 2: 15, 3: 15, 4: 16, 5: 16, 6: 16, 7: 16}",1e-5,35.312,0.682,0.389,0.676,0.833,0.682,0.402,0.649,0.896,0.686,0.749,0.672,0.739,0.368,0.663,0.849,0.153,0.309,0.147,0.182,0.149,0.337,0.117,0.137,0.128,0.157,0.139,0.099,0.285,0.118,0.112,,,,0.682 ± 0.153,0.389 ± 0.309,0.676 ± 0.147,0.833 ± 0.182,0.682 ± 0.149,0.402 ± 0.337,0.649 ± 0.117,0.896 ± 0.137
